Symbol	Name	Market Cap	Last Sale	Net Change	Percentage Change
AAPL	Apple Inc. Common Stock	3,474,674,233,010	$229.87	$1.35	+0.59%
ABNB	Airbnb, Inc. Class A Common Stock	87,069,665,038	$137.34	$4.08	+3.06%
ADBE	Adobe Inc. Common Stock	225,448,430,000	$512.15	$7.71	+1.53%
ADI	Analog Devices, Inc. Common Stock	106,542,530,508	$214.59	$0.63	+0.29%
ADP	Automatic Data Processing, Inc. Common Stock	124,335,473,340	$305.15	$0.58	+0.19%
ADSK	Autodesk, Inc. Common Stock	69,073,050,000	$321.27	$5.86	+1.86%
AEP	American Electric Power Company, Inc. Common Stock	51,973,051,043	$97.59	$0.49	-0.50%
AMAT	Applied Materials, Inc. Common Stock	144,171,786,909	$174.88	$0.87	-0.50%
AMD	Advanced Micro Devices, Inc. Common Stock	224,515,396,319	$138.35	$0.86	+0.63%
AMGN	Amgen Inc. Common Stock	158,319,512,905	$294.53	$4.63	+1.60%
AMZN	Amazon.com, Inc. Common Stock	2,072,718,969,897	$197.12	$1.26	-0.64%
ANSS	ANSYS, Inc. Common Stock	30,607,483,900	$350.00	$1.06	+0.30%
APP	Applovin Corporation Class A Common Stock	111,856,104,191	$333.31	$15.07	+4.74%
ARM	Arm Holdings plc American Depositary Shares	141,474,544,287	$135.99	$2.85	+2.14%
ASML	ASML Holding N.V. New York Registry Shares	264,725,607,626	$672.88	$0.72	+0.11%
AVGO	Broadcom Inc. Common Stock	767,048,710,111	$164.23	$0.29	+0.18%
AZN	AstraZeneca PLC American Depositary Shares	203,491,676,809	$65.63	$1.37	+2.13%
BIIB	Biogen Inc. Common Stock	23,009,083,786	$157.90	$0.11	-0.07%
BKNG	Booking Holdings Inc. Common Stock	171,346,647,708	$5,177.15	$33.77	-0.65%
BKR	Baker Hughes Company Class A Common Stock	43,786,517,048	$44.25	$0.63	-1.40%
CCEP	Coca-Cola Europacific Partners plc Ordinary Shares	36,049,619,515	$78.21	$0.10	+0.13%
CDNS	Cadence Design Systems, Inc. Common Stock	85,534,401,810	$311.87	$5.36	+1.75%
CDW	CDW Corporation Common Stock	23,848,936,536	$178.96	$0.79	+0.44%
CEG	Constellation Energy Corporation Common Stock	78,157,245,424	$249.89	$1.95	-0.77%
CHTR	Charter Communications, Inc. Class A Common Stock New	55,210,344,241	$388.27	$4.43	+1.15%
CMCSA	Comcast Corporation Class A Common Stock	166,339,693,930	$43.47	$0.03	-0.07%
COST	Costco Wholesale Corporation Common Stock	427,127,320,403	$964.01	$8.36	+0.87%
CPRT	Copart, Inc. (DE) Common Stock	60,398,118,475	$62.70	$5.80	+10.19%
CRWD	CrowdStrike Holdings, Inc. Class A Common Stock	91,250,761,109	$372.26	$14.71	+4.11%
CSCO	Cisco Systems, Inc. Common Stock (DE)	233,190,496,123	$58.55	$0.99	+1.72%
CSGP	CoStar Group, Inc. Common Stock	32,718,869,052	$79.81	$2.81	+3.65%
CSX	CSX Corporation Common Stock	68,998,837,294	$35.78	$0.44	+1.25%
CTAS	Cintas Corporation Common Stock	89,435,504,854	$221.76	$0.27	+0.12%
CTSH	Cognizant Technology Solutions Corporation Class A Common Stock	39,437,861,640	$79.54	$0.68	+0.86%
DASH	DoorDash, Inc. Class A Common Stock	73,624,829,400	$177.24	$4.07	+2.35%
DDOG	Datadog, Inc. Class A Common Stock	52,599,320,606	$154.83	$10.97	+7.63%
DXCM	DexCom, Inc. Common Stock	28,447,062,254	$72.83	$1.63	-2.19%
EA	Electronic Arts Inc. Common Stock	43,713,011,076	$166.67	$1.30	-0.77%
EXC	Exelon Corporation Common Stock	38,897,110,785	$38.71	$0.60	-1.53%
FANG	Diamondback Energy, Inc. Common Stock	54,102,677,756	$185.29	$2.59	+1.42%
FAST	Fastenal Company Common Stock	47,595,410,005	$83.08	$0.72	+0.87%
FTNT	Fortinet, Inc. Common Stock	71,103,816,793	$92.77	$1.25	-1.33%
GEHC	GE HealthCare Technologies Inc. Common Stock	37,664,608,389	$82.44	$0.44	+0.54%
GFS	GlobalFoundries Inc. Ordinary Shares	23,691,862,532	$42.80	$0.80	+1.90%
GILD	Gilead Sciences, Inc. Common Stock	112,400,717,643	$90.19	$0.43	+0.48%
GOOG	Alphabet Inc. Class C Capital Stock	2,038,983,370,000	$166.57	$2.67	-1.58%
GOOGL	Alphabet Inc. Class A Common Stock	2,016,827,160,000	$164.76	$2.87	-1.71%
HON	Honeywell International Inc. Common Stock	148,978,177,232	$229.11	$3.02	+1.34%
IDXX	IDEXX Laboratories, Inc. Common Stock	34,165,557,207	$417.24	$1.31	-0.31%
ILMN	Illumina, Inc. Common Stock	22,226,204,000	$140.14	$3.15	+2.30%
INTC	Intel Corporation Common Stock	105,668,500,000	$24.50	$0.06	+0.25%
INTU	Intuit Inc. Common Stock	179,420,515,040	$640.12	$38.58	-5.68%
ISRG	Intuitive Surgical, Inc. Common Stock	195,140,032,532	$547.87	$2.75	-0.50%
KDP	Keurig Dr Pepper Inc. Common Stock	44,301,776,176	$32.66	$0.42	+1.30%
KHC	The Kraft Heinz Company Common Stock	38,463,853,378	$31.81	$0.72	+2.32%
KLAC	KLA Corporation Common Stock	85,546,066,020	$639.55	$6.39	+1.01%
LIN	Linde plc Ordinary Shares	216,547,091,126	$454.78	$0.29	-0.06%
LRCX	Lam Research Corporation Common Stock	93,464,798,400	$72.64	$0.49	-0.67%
LULU	lululemon athletica inc. Common Stock	40,555,981,796	$317.11	$1.97	+0.63%
MAR	Marriott International Class A Common Stock	79,002,323,783	$284.29	$0.85	+0.30%
MCHP	Microchip Technology Incorporated Common Stock	35,813,212,505	$66.69	$0.635	+0.96%
MDB	MongoDB, Inc. Class A Common Stock	24,561,593,455	$332.50	$17.06	+5.41%
MDLZ	Mondelez International, Inc. Class A Common Stock	86,115,309,958	$64.40	$0.39	-0.60%
MELI	MercadoLibre, Inc. Common Stock	101,648,236,875	$2,005.00	$36.85	+1.87%
META	Meta Platforms, Inc. Class A Common Stock	1,411,542,518,342	$559.14	$3.95	-0.70%
MNST	Monster Beverage Corporation	52,574,412,766	$54.06	$0.08	+0.15%
MRNA	Moderna, Inc. Common Stock	15,819,860,210	$41.11	$2.86	+7.48%
MRVL	Marvell Technology, Inc. Common Stock	80,132,162,000	$92.51	$0.43	-0.46%
MSFT	Microsoft Corporation Common Stock	3,100,345,283,592	$417.00	$4.13	+1.00%
MU	Micron Technology, Inc. Common Stock	113,801,348,880	$102.64	$0.12	-0.12%
NFLX	Netflix, Inc. Common Stock	383,767,620,168	$897.79	$0.31	+0.03%
NVDA	NVIDIA Corporation Common Stock	3,476,355,500,000	$141.95	$4.72	-3.22%
NXPI	NXP Semiconductors N.V. Common Stock	57,535,740,200	$226.38	$1.81	+0.81%
ODFL	Old Dominion Freight Line, Inc. Common Stock	47,022,832,304	$220.25	$1.86	+0.85%
ON	ON Semiconductor Corporation Common Stock	29,644,017,634	$69.62	$1.15	+1.68%
ORLY	O'Reilly Automotive, Inc. Common Stock	70,856,920,667	$1,227.37	$22.63	+1.88%
PANW	Palo Alto Networks, Inc. Common Stock	124,822,016,000	$383.36	$14.34	-3.61%
PAYX	Paychex, Inc. Common Stock	51,990,868,114	$144.46	$0.37	+0.26%
PCAR	PACCAR Inc. Common Stock	60,163,488,572	$114.75	$0.70	+0.61%
PDD	PDD Holdings Inc. American Depositary Shares	137,683,589,795	$100.07	$4.02	-3.86%
PEP	PepsiCo, Inc. Common Stock	222,262,222,050	$162.00	$1.66	+1.04%
PYPL	PayPal Holdings, Inc. Common Stock	86,990,294,106	$86.77	$1.95	+2.30%
QCOM	QUALCOMM Incorporated Common Stock	174,193,690,000	$156.79	$1.33	+0.86%
REGN	Regeneron Pharmaceuticals, Inc. Common Stock	81,098,473,878	$738.00	$6.50	-0.87%
ROP	Roper Technologies, Inc. Common Stock	60,063,336,641	$560.14	$5.88	+1.06%
ROST	Ross Stores, Inc. Common Stock	48,467,184,209	$146.09	$3.13	+2.19%
SBUX	Starbucks Corporation Common Stock	116,214,500,000	$102.50	$2.44	+2.44%
SMCI	Super Micro Computer, Inc. Common Stock	19,411,488,701	$33.15	$3.45	+11.62%
SNPS	Synopsys, Inc. Common Stock	86,802,518,322	$565.07	$7.13	+1.28%
TEAM	Atlassian Corporation Class A Common Stock	67,863,728,858	$260.58	$6.61	+2.60%
TMUS	T-Mobile US, Inc. Common Stock	276,520,758,485	$238.28	$1.70	+0.72%
TSLA	Tesla, Inc. Common Stock	1,131,738,633,377	$352.56	$12.92	+3.80%
TTD	The Trade Desk, Inc. Class A Common Stock	64,016,536,516	$129.70	$2.35	+1.85%
TTWO	Take-Two Interactive Software, Inc. Common Stock	33,044,293,617	$188.15	$1.57	+0.84%
TXN	Texas Instruments Incorporated Common Stock	180,618,889,572	$198.00	$0.20	-0.10%
VRSK	Verisk Analytics, Inc. Common Stock	41,054,167,623	$290.73	$3.17	+1.10%
VRTX	Vertex Pharmaceuticals Incorporated Common Stock	116,137,983,911	$450.97	$0.60	+0.13%
WBD	Warner Bros. Discovery, Inc. Series A Common Stock	24,801,499,131	$10.11	$0.12	-1.17%
WDAY	Workday, Inc. Class A Common Stock	70,953,750,000	$267.75	$0.32	-0.12%
XEL	Xcel Energy Inc. Common Stock	40,972,148,506	$71.35	$0.03	-0.04%
ZS	Zscaler, Inc. Common Stock	32,169,291,455	$210.96	$3.66	+1.77%